Mitocheck_Phenotypic_Class	frame_details
Large	PLLT0149_01--ex2005_11_11--sp2005_10_18--tt173--c3___P00154_01___T00080___X0243___Y0856
Large	PLLT0149_01--ex2005_11_11--sp2005_10_18--tt173--c3___P00154_01___T00080___X0879___Y0172
Large	PLLT0149_01--ex2005_11_11--sp2005_10_18--tt173--c3___P00154_01___T00080___X0838___Y0219
Large	PLLT0149_01--ex2005_11_11--sp2005_10_18--tt173--c3___P00154_01___T00080___X0738___Y0317
Large	PLLT0149_01--ex2005_11_11--sp2005_10_18--tt173--c3___P00154_01___T00080___X0811___Y0894
Large	PLLT0149_01--ex2005_11_11--sp2005_10_18--tt173--c3___P00154_01___T00080___X1190___Y0306
Large	PLLT0149_01--ex2005_11_11--sp2005_10_18--tt173--c3___P00154_01___T00080___X0299___Y0636
Large	PLLT0149_05--ex2006_02_01--sp2005_10_18--tt17--c5___P00154_01___T00080___X1162___Y0611
Large	PLLT0149_05--ex2006_02_01--sp2005_10_18--tt17--c5___P00154_01___T00080___X0179___Y0541
Large	PLLT0149_05--ex2006_02_01--sp2005_10_18--tt17--c5___P00154_01___T00080___X0762___Y0365
Large	PLLT0149_05--ex2006_02_01--sp2005_10_18--tt17--c5___P00154_01___T00080___X1158___Y0450
Large	PLLT0149_05--ex2006_02_01--sp2005_10_18--tt17--c5___P00154_01___T00080___X1145___Y0309
Large	PLLT0149_05--ex2006_02_01--sp2005_10_18--tt17--c5___P00154_01___T00080___X0755___Y0717
Large	PLLT0149_05--ex2006_02_01--sp2005_10_18--tt17--c5___P00154_01___T00080___X0654___Y0792
Large	PLLT0149_05--ex2006_02_01--sp2005_10_18--tt17--c5___P00154_01___T00080___X0513___Y0044
Large	PLLT0149_05--ex2006_02_01--sp2005_10_18--tt17--c5___P00154_01___T00080___X0635___Y0038
Large	PLLT0149_05--ex2006_02_01--sp2005_10_18--tt17--c5___P00154_01___T00080___X0241___Y0780
Large	PLLT0149_05--ex2006_02_01--sp2005_10_18--tt17--c5___P00154_01___T00080___X0964___Y0893
Large	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00001___X0630___Y0726
Large	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00016___X0607___Y0734
Large	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00016___X1101___Y0337
Large	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00016___X0669___Y0752
Large	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00060___X0668___Y0709
Large	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00060___X0677___Y0763
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00022___X0249___Y0481
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00022___X0849___Y0131
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00022___X0265___Y0413
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00022___X0909___Y0132
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00022___X1264___Y0203
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00027___X1257___Y0148
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00027___X1260___Y0203
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00027___X0847___Y0129
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00027___X0457___Y0154
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00038___X0818___Y0172
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00038___X0897___Y0168
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00038___X0276___Y0414
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00038___X0850___Y0132
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00038___X0255___Y0477
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00038___X1030___Y0449
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00051___X0165___Y0625
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00051___X1251___Y0169
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00051___X0824___Y0172
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00051___X0953___Y0163
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00051___X0894___Y0161
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00051___X0979___Y0196
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00051___X0045___Y0519
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00062___X0788___Y0822
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00062___X0196___Y0592
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00062___X0164___Y0360
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00062___X0101___Y0457
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00062___X0179___Y0800
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00062___X0792___Y0762
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00062___X0424___Y0510
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00062___X0192___Y0745
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00062___X0282___Y0413
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00062___X0430___Y0558
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00062___X0123___Y0359
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00062___X0811___Y0860
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00075___X0152___Y0521
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00075___X0171___Y0367
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00075___X0501___Y0804
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00075___X0048___Y0519
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00075___X0099___Y0457
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00075___X1251___Y0888
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00075___X0123___Y0365
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00075___X0493___Y0690
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00075___X0978___Y0191
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00075___X0188___Y0579
Prometaphase	PLLT0013_42--ex2005_05_25--sp2005_04_11--tt18--c3___P00107_01___T00075___X0960___Y0507
Prometaphase	PLLT0023_04--ex2005_09_09--sp2005_04_19--tt17--c4___P00005_01___T00007___X0871___Y0460
Prometaphase	PLLT0030_17--ex2005_06_08--sp2005_01_01--tt17--c3___P00058_01___T00045___X1215___Y0120
Prometaphase	PLLT0030_17--ex2005_06_08--sp2005_01_01--tt17--c3___P00058_01___T00045___X0286___Y0502
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00003___X0493___Y0585
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00003___X0557___Y0366
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00003___X0458___Y0571
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00003___X0454___Y0868
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00003___X0392___Y0419
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00003___X0769___Y0603
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00020___X0312___Y0338
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00020___X0781___Y0432
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00020___X0807___Y0481
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00020___X0741___Y0636
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00020___X0310___Y0433
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00020___X0685___Y0614
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00020___X0449___Y0367
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00020___X0269___Y0372
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00020___X0500___Y0393
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00020___X1046___Y0285
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00020___X0224___Y0361
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00020___X1067___Y0245
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00039___X0776___Y0441
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00039___X0771___Y0135
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00039___X1050___Y0282
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00039___X0811___Y0474
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00039___X0310___Y0334
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00039___X1315___Y0401
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00039___X0746___Y0181
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00039___X0539___Y0143
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00039___X1068___Y0242
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00039___X0951___Y0464
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00039___X0267___Y0371
Prometaphase	PLLT0035_06--ex2005_06_10--sp2005_05_09--tt25--c2___P00274_01___T00039___X0226___Y0346
Prometaphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00046___X0248___Y0440
Prometaphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00054___X0249___Y0916
Prometaphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00067___X0292___Y0902
Prometaphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00067___X0831___Y0590
Prometaphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00067___X0354___Y0939
Prometaphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00074___X0176___Y0776
Prometaphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00074___X0716___Y0742
Prometaphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00074___X0763___Y0722
Prometaphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00083___X0435___Y0587
Prometaphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00083___X0539___Y0506
Prometaphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00088___X0375___Y0451
Prometaphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00088___X0471___Y0664
Prometaphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00088___X0538___Y0651
Prometaphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00088___X0538___Y0507
Prometaphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00088___X0479___Y0374
Prometaphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00093___X0722___Y0925
Prometaphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00093___X0476___Y0662
Prometaphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00093___X0537___Y0652
Prometaphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00093___X0645___Y0319
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00000___X0593___Y0902
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00000___X0270___Y0940
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00000___X0241___Y0809
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00000___X0790___Y0502
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00000___X0418___Y0874
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00000___X0729___Y0693
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00000___X0938___Y0175
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00000___X0500___Y0930
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00000___X0609___Y0745
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00000___X0490___Y0974
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00000___X0300___Y0477
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00000___X0778___Y0622
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00000___X0264___Y0902
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00000___X0284___Y0823
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00000___X0170___Y0421
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00000___X0372___Y0405
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X0367___Y0400
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X0613___Y0745
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X0255___Y0902
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X0497___Y0932
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X0241___Y0799
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X0418___Y0874
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X0297___Y0473
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X0777___Y0620
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X0911___Y0522
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X0725___Y0688
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X0283___Y0821
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X0275___Y0936
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X0595___Y0901
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X0811___Y0581
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X0943___Y0171
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X0486___Y0968
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X0790___Y0502
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X0164___Y0421
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00028___X0333___Y0640
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00028___X1245___Y0086
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00028___X0278___Y0938
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00028___X0272___Y0875
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00028___X0560___Y0081
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00028___X0789___Y0500
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00028___X0206___Y0203
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00028___X0370___Y0058
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00028___X0282___Y0827
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00028___X0247___Y0792
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00028___X0148___Y0140
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00028___X0383___Y0617
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00028___X0720___Y0206
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00028___X0918___Y0044
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00028___X0880___Y0018
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00028___X0595___Y0126
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00028___X0796___Y0416
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00028___X0813___Y0579
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00028___X0263___Y0173
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00028___X0457___Y0611
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00028___X0740___Y0389
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00028___X0021___Y0326
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00028___X0539___Y0197
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00055___X0262___Y0325
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00055___X0723___Y0258
Prometaphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00055___X0795___Y0419
